['682716753374351360', 'person', 'wine', 'holding', 'fruit', 'picture']
['684951892347252736', 'people', 'man', 'picture', 'restaurant', 'food']
['684979497074991104', 'tv', 'bus', 'television', 'woman', 'blurry']
['685079733478932481', 'woman', 'man', 'picture', 'wearing', 'standing']
['685103804581216257', 'air', 'man', 'picture', 'skateboard', 'like']
['685107977460686849', 'car', 'parking', 'white', 'bed', 'truck']
['685113505276649473', 'sign', 'writing', 'book', 'picture', 'baseball']
['685117054953877505', 'keyboard', 'mouse', 'person', 'hand', 'writing']
['685156039159853056', 'sign', 'types', 'signs', 'store', 'writing']
['685159825995505665', 'sign', 'white', 'street', 'road', 'trees']
['685164083117608960', 'keyboard', 'open', 'sitting', 'cover', 'stack']
['685168383738785792', 'baby', 'cake', 'girl', 'little', 'birthday']
['685173919058407424', 'surfboard', 'airplane', 'plane', 'sitting', 'white']
['685175113482944512', 'man', 'picture', 'wearing', 'sitting', 'sign']
['685183064826351617', 'scissors', 'wii', 'photo', 'table', 'paper']
['685190077555826692', 'night', 'dark', 'sky', 'blurry', 'large']
['685190289431113728', 'man', 'picture', 'wearing', 'different', 'woman']
['685204034815275008', 'keyboard', 'mouse', 'desk', 'sitting', 'cup']
['685221022937821184', 'woman', 'man', 'scissors', 'kitchen', 'display']
['685234721282981889', 'sign', 'white', 'street', 'close', 'wall']
['685236198298808320', 'flowers', 'white', 'pictures', 'different', 'types']
['685236400854188033', 'white', 'wii', 'sign', 'remote', 'close']
['685248241412145152', 'white', 'sitting', 'view', 'close', 'mouse']
['685269360940822528', 'sign', 'keyboard', 'white', 'writing', 'sitting']
['685271249187110912', 'tennis', 'boy', 'woman', 'toothbrush', 'girl']
['685276611042766849', 'sitting', 'window', 'bird', 'view', 'sky']
['685314759353348096', 'sign', 'street', 'apple', 'writing', 'says']
['685357510484738048', 'street', 'night', 'city', 'sun', 'lights']
['685359129414774784', 'sign', 'different', 'white', 'photos', 'parking']
['685363041110634496', 'photos', 'picture', 'writing', 'different', 'pictures']
['685385028273090560', 'woman', 'man', 'talking', 'standing', 'men']
['685414412103069696', 'street', 'wine', 'glass', 'view', 'person']
['685480944191586304', 'white', 'train', 'sitting', 'photo', 'vintage']
['685491413409112065', 'sitting', 'wall', 'bed', 'brick', 'pen']
['685499717149569024', 'pink', 'bed', 'laying', 'girl', 'sleeping']
['685512351207022592', 'bed', 'laying', 'pillow', 'white', 'book']
['685517820558479360', 'man', 'person', 'bed', 'red', 'shirt']
['685520313069776896', 'plane', 'airplane', 'sitting', 'hanging', 'ceiling']
['685538617566052352', 'sign', 'street', 'white', 'sky', 'road']
['685547443598004225', 'white', 'sun', 'sky', 'window', 'cat']
['685548576630521856', 'people', 'street', 'crowd', 'bus', 'busy']
['685553472083734529', 'sign', 'lit', 'white', 'street', 'sky']
['685561705426989057', 'keyboard', 'sitting', 'white', 'time', 'close']
['685565163127320579', 'black', 'street', 'picture', 'sky', 'white']
['685570843477319680', 'box', 'writing', 'white', 'sign', 'placed']
['685575068215279618', 'vase', 'flowers', 'hanging', 'flower', 'board']
['685576450364289026', 'plane', 'airplane', 'sitting', 'hanging', 'ceiling']
['685579652161757189', 'writing', 'baseball', 'sign', 'white', 'parking']
['685587227791851520', 'flying', 'sky', 'birds', 'air', 'field']
['685594638464499712', 'street', 'road', 'night', 'blurry', 'lit']
['685601583879598084', 'sign', 'street', 'white', 'road', 'writing']
['685610832085053444', 'sign', 'street', 'white', 'wall', 'close']
['685622559937708032', 'lit', 'train', 'driving', 'oven', 'light']
['685631120298213376', 'wall', 'sign', 'holding', 'person', 'hanging']
['685656680495845378', 'red', 'sitting', 'table', 'white', 'counter']
['685712147956023296', 'refrigerator', 'remote', 'remotes', 'sitting', 'types']
['685766032414224385', 'beach', 'water', 'people', 'sunset', 'day']
['685817158652280832', 'snow', 'line', 'slope', 'trees', 'white']
['685857038681899010', 'red', 'plate', 'tray', 'white', 'sitting']
['685870962689064960', 'keyboard', 'writing', 'sitting', 'red', 'screen']
['685874262998028288', 'woman', 'women', 'girls', 'smiling', 'people']
['685875890841108480', 'scissors', 'pair', 'person', 'board', 'knife']
['685875930401779712', 'woman', 'picture', 'holding', 'man', 'photo']
['685908290010742784', 'group', 'standing', 'people', 'men', 'court']
['685926903509872640', 'man', 'banana', 'holding', 'holds', 'woman']
['685931813861240833', 'sign', 'street', 'white', 'road', 'traffic']
['685941579341664257', 'keyboard', 'mouse', 'cover', 'white', 'book']
['685982606496776192', 'cat', 'bed', 'sitting', 'playing', 'sleeping']
['685996770829168640', 'street', 'signs', 'sign', 'blue', 'road']
['685999243874676736', 'sitting', 'window', 'looking', 'watching', 'woman']
['686013652021809152', 'television', 'tv', 'screen', 'watching', 'large']
['686029041900507136', 'sitting', 'display', 'person', 'ground', 'player']
['686050853120167936', 'book', 'player', 'cell', 'baseball', 'keyboard']
['686074568759357441', 'screen', 'television', 'sitting', 'keyboard', 'close']
['686096922868867072', 'street', 'bus', 'people', 'person', 'woman']
['686126823592177664', 'sign', 'air', 'white', 'lines', 'street']
['686222316431257600', 'yellow', 'air', 'blue', 'background', 'scissors']
['686244213932048385', 'bananas', 'banana', 'bowl', 'plate', 'ripe']
['686249757103271937', 'table', 'keyboard', 'person', 'box', 'board']
['686253463446138880', 'sign', 'sky', 'street', 'air', 'display']
['686253993769734145', 'woman', 'scissors', 'pair', 'air', 'picture']
['686269922779873280', 'sign', 'white', 'street', 'writing', 'says']
['686283458059059200', 'keyboard', 'sitting', 'white', 'table', 'picture']
['686309303913820161', 'ball', 'playing', 'soccer', 'game', 'court']
['686323557958291456', 'sign', 'scissors', 'frisbee', 'pair', 'wall']
['686522354575486976', 'small', 'blue', 'toilet', 'hand', 'little']
['686540784653463552', 'man', 'tv', 'men', 'picture', 'watching']
['686572545265504256', 'woman', 'red', 'girl', 'young', 'child']
['686574932990410754', 'sign', 'street', 'white', 'black', 'sky']
['686575579328589824', 'laying', 'cat', 'sitting', 'sleeping', 'couple']
['686579193614761984', 'different', 'display', 'types', 'table', 'writing']
['686587990236348416', 'sign', 'wearing', 'man', 'woman', 'picture']
['686590150235807744', 'tie', 'wearing', 'suit', 'man', 'young']
['686620435534987265', 'sitting', 'window', 'airplane', 'television', 'laying']
['686624979966910464', 'refrigerator', 'cat', 'white', 'box', 'sitting']
['686649475776036867', 'woman', 'cell', 'phone', 'young', 'smiling']
['686667554811691009', 'woman', 'girl', 'women', 'looking', 'phone']
['686670836577742848', 'wii', 'game', 'white', 'video', 'controllers']
['686681115915059201', 'dog', 'cat', 'sitting', 'white', 'looking']
['686698926104272896', 'sign', 'street', 'writing', 'road', 'says']
['686704697814614016', 'woman', 'women', 'cell', 'standing', 'wedding']
['686708138075107328', 'cat', 'window', 'sitting', 'green', 'open']
['686721906909683712', 'sign', 'street', 'sky', 'road', 'red']
['686724563493720064', 'sign', 'street', 'white', 'sky', 'pole']
['686728005985681412', 'sign', 'player', 'baseball', 'book', 'air']
['686763823085293574', 'pink', 'different', 'display', 'phone', 'parking']
['686766977612791809', 'yellow', 'banana', 'bananas', 'man', 'sitting']
['686774491976839173', 'man', 'woman', 'horse', 'sitting', 'standing']
['686786826254745600', 'scissors', 'air', 'game', 'sitting', 'wii']
['686864444924760064', 'woman', 'man', 'cell', 'looking', 'phone']
['686885994684125185', 'middle', 'black', 'sitting', 'near', 'suitcase']
['686893605621874688', 'woman', 'umbrella', 'child', 'young', 'smiling']
['686900219292839939', 'snow', 'street', 'sign', 'covered', 'pole']
['686916775582109698', 'truck', 'snow', 'trailer', 'white', 'lot']
['686926157288202241', 'tie', 'white', 'wearing', 'shirt', 'man']
['686937481288138752', 'girl', 'woman', 'hair', 'tie', 'wearing']
['686955918727213057', 'sign', 'street', 'signs', 'writing', 'player']
['686988004708106241', 'man', 'tie', 'standing', 'wearing', 'holding']
['686995430366904321', 'view', 'green', 'standing', 'people', 'road']
['687002701318717440', 'kitchen', 'table', 'people', 'woman', 'man']
['687017855045492736', 'skateboard', 'cake', 'car', 'sitting', 'riding']
['687037430717898753', 'woman', 'man', 'picture', 'tie', 'wearing']
['687037688856338432', 'different', 'keyboard', 'sitting', 'book', 'close']
['687046254455566337', 'man', 'picture', 'phone', 'wearing', 'taking']
['687053223753060354', 'man', 'picture', 'phone', 'wearing', 'taking']
['687063869215342592', 'sign', 'writing', 'baseball', 'book', 'picture']
['687071770524819456', 'picture', 'sign', 'plate', 'noodles', 'holding']
['687097423743696896', 'purple', 'cat', 'laying', 'blanket', 'bed']
['687117399187828736', 'board', 'table', 'cutting', 'man', 'person']
['687136547032793088', 'controller', 'remote', 'wii', 'man', 'person']
['687137751943266304', 'woman', 'young', 'smiling', 'wearing', 'phone']
['687144271955103744', 'dog', 'camera', 'woman', 'looking', 'close']
['687155161697894400', 'plate', 'sitting', 'cat', 'food', 'playing']
['687178819929767936', 'bus', 'tv', 'sitting', 'car', 'inside']
['687208244943695872', 'air', 'sky', 'white', 'sign', 'picture']
['687217642302795776', 'sign', 'yellow', 'sky', 'street', 'surfboard']
['687275544996634624', 'green', 'scissors', 'sign', 'pair', 'displayed']
['687283711256035329', 'green', 'sink', 'food', 'different', 'tray']
['687298676860010497', 'tie', 'wearing', 'young', 'boy', 'shirt']
['687312681863233536', 'sign', 'picture', 'player', 'baseball', 'wii']
['687326083256070144', 'black', 'photo', 'street', 'white', 'picture']
['687328903120203776', 'sign', 'sitting', 'hand', 'air', 'white']
['687332343367995392', 'white', 'sign', 'microwave', 'signs', 'picture']
['687339121505734656', 'sign', 'white', 'street', 'air', 'mountain']
['687339807463337985', 'sign', 'pole', 'clock', 'post', 'street']
['687372373268430848', 'white', 'snow', 'parking', 'photo', 'lot']
['687379180409860096', 'picture', 'screen', 'television', 'cell', 'tv']
['687383830508998656', 'woman', 'man', 'standing', 'cell', 'phone']
['687393941067558912', 'scissors', 'mouse', 'close', 'pair', 'white']
['687435123294355457', 'sign', 'picture', 'writing', 'air', 'book']
['687440182027497472', 'dark', 'lit', 'light', 'blurry', 'night']
['687462795638607872', 'sign', 'street', 'close', 'white', 'black']
['687475009816801281', 'keyboard', 'black', 'umbrella', 'white', 'tree']
['687475296778366976', 'plate', 'fries', 'sandwich', 'french', 'fruit']
['687478220090806273', 'plate', 'sitting', 'fork', 'table', 'food']
['687504091639988225', 'sign', 'white', 'air', 'player', 'writing']
['687536800508821504', 'coffee', 'cup', 'sitting', 'white', 'table']
['687538447997784064', 'sign', 'book', 'writing', 'display', 'box']
['687550286286565376', 'white', 'wii', 'controller', 'refrigerator', 'controllers']
['687599189438631936', 'woman', 'beach', 'cell', 'phone', 'women']
['687619209195614208', 'sign', 'cake', 'scissors', 'pink', 'writing']
['687639534926839808', 'sign', 'writing', 'book', 'player', 'remote']
['687651957268328448', 'sign', 'street', 'signs', 'black', 'keyboard']
['687653525757673473', 'man', 'young', 'boy', 'food', 'standing']
['687655177936093184', 'soccer', 'boy', 'cake', 'playing', 'woman']
['687661976533610496', 'plate', 'food', 'fork', 'slice', 'white']
['687663134056693761', 'tie', 'man', 'suit', 'wearing', 'smiling']
['687673919357071360', 'people', 'street', 'walking', 'group', 'road']
['687686464428113920', 'man', 'woman', 'cell', 'people', 'doughnut']
['687691982114701312', 'wall', 'white', 'different', 'picture', 'sky']
['687723279520526336', 'sitting', 'cake', 'suitcase', 'oven', 'pan']
['687729338360442880', 'airplane', 'plane', 'tarmac', 'runway', 'airport']
['687732490665000961', 'luggage', 'suitcase', 'shoes', 'laying', 'bag']
['687733379094056960', 'man', 'skateboard', 'standing', 'stands', 'player']
['687741234920599553', 'sign', 'scissors', 'picture', 'photo', 'writing']
['687748094427971584', 'white', 'sitting', 'cup', 'counter', 'clean']
['687751173768495104', 'blue', 'sign', 'background', 'water', 'lake']
['687767505465573377', 'sign', 'player', 'writing', 'book', 'parking']
['687800927617724416', 'people', 'group', 'crowd', 'street', 'line']
['687821553069772801', 'sign', 'red', 'baseball', 'glove', 'sitting']
['687826579599196160', 'book', 'surfboard', 'sign', 'picture', 'cover']
['687833630098362368', 'man', 'book', 'wii', 'cat', 'remote']
['687837109395288064', 'sign', 'writing', 'street', 'lines', 'turn']
['687842181323853824', 'white', 'street', 'sign', 'black', 'photo']
['687849753640435713', 'keyboard', 'display', 'writing', 'man', 'picture']
['687919258567770112', 'woman', 'man', 'tennis', 'book', 'laying']
['687922927430275072', 'man', 'tennis', 'holding', 'air', 'woman']
['687923155315326977', 'clock', 'white', 'air', 'sign', 'picture']
['687946942542966784', 'red', 'white', 'plate', 'table', 'donut']
['687973976103063552', 'woman', 'wearing', 'hat', 'nose', 'doughnut']
['687978177155575809', 'sign', 'black', 'white', 'street', 'photo']
['687988631546507265', 'cat', 'standing', 'blurry', 'water', 'large']
['687998090146496512', 'sign', 'screen', 'parking', 'image', 'white']
['688011491795189760', 'chairs', 'video', 'table', 'room', 'sitting']
['688013070384381952', 'sign', 'display', 'different', 'flowers', 'writing']
['688014349953286145', 'group', 'people', 'cell', 'eating', 'girls']
['688016874370674695', 'playing', 'video', 'woman', 'game', 'wii']
['688017132899188736', 'people', 'group', 'kitchen', 'standing', 'room']
['688019101659344896', 'sign', 'book', 'player', 'cake', 'box']
['688021313949167616', 'sign', 'white', 'wii', 'parking', 'writing']
['688022995735080961', 'woman', 'white', 'pink', 'controller', 'wii']
['688044840412565505', 'scissors', 'different', 'items', 'cell', 'photos']
['688045940477968384', 'white', 'writing', 'sitting', 'book', 'sign']
['688048010777853952', 'woman', 'young', 'skateboard', 'girl', 'wearing']
['688070697055313920', 'bowl', 'counter', 'inside', 'sitting', 'sink']
['688074706298253313', 'keyboard', 'red', 'stack', 'sitting', 'set']
['688075055016886272', 'road', 'street', 'bus', 'sitting', 'car']
['688083478018146304', 'keyboard', 'sitting', 'close', 'mouse', 'cover']
['688103947614064641', 'lit', 'room', 'counter', 'kitchen', 'desk']
['688104360199323648', 'hat', 'wearing', 'cup', 'man', 'glasses']
['688123616454520833', 'people', 'man', 'standing', 'air', 'woman']
['688124538454802432', 'man', 'holding', 'wearing', 'phone', 'picture']
['688136577806016514', 'sign', 'street', 'white', 'says', 'sky']
['688140954750955520', 'red', 'woman', 'baseball', 'umbrella', 'standing']
['688180666911952897', 'man', 'boy', 'holding', 'shirt', 'picture']
['688184681863331840', 'woman', 'table', 'food', 'people', 'restaurant']
['688186042134822914', 'people', 'man', 'woman', 'sitting', 'bananas']
['688194261305536513', 'man', 'dark', 'light', 'woman', 'lit']
['688253637584265217', 'woman', 'scissors', 'toothbrush', 'close', 'holding']
['688280585899511808', 'sign', 'cake', 'scissors', 'surfboard', 'book']
['688299479263498240', 'white', 'street', 'photo', 'black', 'building']
['688325431141990400', 'man', 'keyboard', 'picture', 'sitting', 'laptop']
['688338958577717248', 'flying', 'sky', 'person', 'airplane', 'white']
['688345649994055680', 'sign', 'black', 'street', 'writing', 'white']
['688374085945049088', 'keyboard', 'blurry', 'road', 'store', 'street']
['688381259328913408', 'woman', 'mouth', 'phone', 'standing', 'wearing']
['688411498272571392', 'phone', 'cell', 'woman', 'talking', 'picture']
['688413325433028608', 'sign', 'street', 'sky', 'sitting', 'road']
['688434905265483776', 'woman', 'women', 'picture', 'standing', 'man']
['688439479607009280', 'man', 'wearing', 'tie', 'smiling', 'picture']
['688452984586502144', 'white', 'holding', 'woman', 'picture', 'donut']
['688454234367377408', 'wall', 'clock', 'sign', 'picture', 'attached']
['688460191130603521', 'man', 'woman', 'wearing', 'smiling', 'picture']
['688471306442944512', 'sign', 'red', 'baseball', 'wall', 'woman']
['688474231651176448', 'clock', 'holding', 'baseball', 'picture', 'book']
['688526083348500484', 'tie', 'wearing', 'shirt', 'child', 'young']
['688536913830113280', 'man', 'picture', 'woman', 'book', 'sitting']
['688539934605484033', 'lit', 'flowers', 'oven', 'sitting', 'blurry']
['688562709873446912', 'game', 'different', 'remote', 'close', 'time']
['688606169623998464', 'cover', 'book', 'keyboard', 'stack', 'picture']
['688640516758630402', 'woman', 'man', 'phone', 'cell', 'sitting']
['688650921929080832', 'keyboard', 'sign', 'signs', 'black', 'close']
['688662865016958976', 'sign', 'writing', 'wall', 'graffiti', 'white']
['688679549664673792', 'white', 'parked', 'bus', 'building', 'large']
['688682109037228033', 'man', 'sign', 'baseball', 'men', 'wearing']
['688706915757625344', 'sign', 'white', 'street', 'sky', 'red']
['688734735175004161', 'sign', 'pink', 'birthday', 'different', 'cake']
['688748657982713857', 'sign', 'writing', 'parking', 'closed', 'pink']
['688750591502381056', 'sign', 'street', 'sky', 'white', 'close']
['688766388324950016', 'parking', 'air', 'table', 'sitting', 'sky']
['688766975820992512', 'sky', 'bananas', 'sign', 'sitting', 'close']
['688779229627035650', 'woman', 'scissors', 'pair', 'air', 'picture']
['688779926409969665', 'floor', 'cat', 'shoes', 'laying', 'sitting']
['688783571381649408', 'man', 'tie', 'wearing', 'smiling', 'young']
['688794329465270272', 'wall', 'shown', 'hanging', 'mounted', 'lit']
['688804762381357057', 'window', 'sitting', 'brick', 'white', 'object']
['688833309502222336', 'sign', 'street', 'blue', 'writing', 'road']
['688839242819203072', 'bed', 'hanging', 'bedroom', 'rack', 'curtain']
['688839877597728769', 'man', 'woman', 'tie', 'wearing', 'phone']
['688911206149677057', 'street', 'sitting', 'photo', 'picture', 'keyboard']
['688921289407397888', 'people', 'waiting', 'luggage', 'store', 'street']
['688931689758863360', 'white', 'black', 'sign', 'street', 'photo']
['688948987307507712', 'red', 'coffee', 'black', 'writing', 'cup']
['689033889923219456', 'man', 'picture', 'woman', 'men', 'suit']
['689052142003294209', 'light', 'street', 'traffic', 'lights', 'sun']
['689096382574112772', 'keyboard', 'sitting', 'mouse', 'black', 'close']
['689120428409909248', 'woman', 'phone', 'sign', 'cell', 'picture']
['689133010663288833', 'plate', 'person', 'dog', 'sandwich', 'food']
['689146173035298818', 'sign', 'man', 'writing', 'tennis', 'signs']
['689149960797945856', 'sign', 'street', 'sky', 'road', 'pole']
['689152404487417857', 'man', 'person', 'close', 'wearing', 'tie']
['689171316231016448', 'vase', 'flowers', 'white', 'bed', 'sitting']
['689173117193834496', 'blue', 'sitting', 'white', 'close', 'seen']
['689183603926810625', 'man', 'woman', 'kitchen', 'standing', 'food']
['689186484902064128', 'kitchen', 'stove', 'sink', 'cabinets', 'counter']
['689219730796707840', 'street', 'standing', 'man', 'men', 'woman']
['689240781643579392', 'keyboard', 'attached', 'drawn', 'picture', 'displayed']
['689242025519091714', 'people', 'air', 'sky', 'sitting', 'playing']
['689269156416491520', 'sign', 'writing', 'cake', 'black', 'street']
['689276259809923073', 'people', 'hanging', 'poles', 'kites', 'sky']
['689357345588125696', 'dog', 'white', 'standing', 'plate', 'horse']
['689385100178432000', 'man', 'woman', 'wearing', 'picture', 'photo']
['689446393040142336', 'man', 'smiling', 'keyboard', 'camera', 'standing']
['689456651997347841', 'tennis', 'air', 'player', 'display', 'keyboard']
['689457017308602368', 'signs', 'close', 'gas', 'large', 'station']
['689481175941808128', 'woman', 'man', 'standing', 'holding', 'stands']
['689481578389499904', 'green', 'cat', 'sitting', 'dog', 'frisbee']
['689484733433032704', 'plate', 'zebra', 'cake', 'white', 'cat']
['689486061983019009', 'white', 'snow', 'sitting', 'cat', 'bench']
['689487804133289984', 'sign', 'street', 'sky', 'pole', 'white']
['689492583442087936', 'sign', 'writing', 'street', 'lines', 'turn']
['689501721966415873', 'wii', 'remote', 'remotes', 'television', 'sitting']
['689594508460298244', 'woman', 'hair', 'looking', 'girl', 'women']
['689600450018938880', 'street', 'parking', 'truck', 'parked', 'city']
['689637362058440705', 'sign', 'stop', 'snow', 'street', 'red']
['689667649878540289', 'cell', 'woman', 'sign', 'phone', 'phones']
['689681644987551744', 'blue', 'white', 'sign', 'street', 'sitting']
['689691065503326208', 'sign', 'street', 'refrigerator', 'signs', 'writing']
['689704577847918592', 'pink', 'cat', 'man', 'box', 'fruit']
['689751315505926144', 'holding', 'wearing', 'snowboard', 'young', 'face']
['689752136435929088', 'woman', 'black', 'man', 'cat', 'photo']
['689782673112367104', 'woman', 'phone', 'cell', 'doughnut', 'boy']
['689796494157832193', 'picture', 'man', 'wearing', 'smiling', 'woman']
['689796910463467520', 'bed', 'sitting', 'bedroom', 'white', 'blanket']
['689816370658349057', 'sign', 'signs', 'different', 'writing', 'wall']
['689825646760042497', 'scissors', 'white', 'wall', 'different', 'book']
['689841858198007809', 'bed', 'room', 'bedroom', 'white', 'sleeping']
['689845434211143680', 'book', 'laying', 'cute', 'holding', 'child']
['689845804610158592', 'people', 'crowd', 'large', 'group', 'watching']
['689850516734615552', 'sitting', 'piece', 'bed', 'table', 'ground']
['689852887963471872', 'sign', 'writing', 'white', 'book', 'street']
['689852968066224128', 'keyboard', 'book', 'water', 'flag', 'red']
['689854555199250433', 'white', 'kites', 'different', 'colored', 'like']
['689866246855266304', 'woman', 'girl', 'hair', 'smiling', 'child']
['689868642260029440', 'white', 'team', 'sign', 'different', 'ties']
['689871277205671936', 'plate', 'food', 'cheese', 'table', 'sitting']
['689872913210695680', 'sign', 'white', 'hanging', 'attached', 'table']
['689875739315965952', 'table', 'cup', 'sit', 'white', 'coffee']
['689876038046892032', 'sitting', 'white', 'different', 'table', 'open']
['689878733424087040', 'wearing', 'man', 'tie', 'hat', 'young']
