['682716753374351360', 'different', 'display', 'types', 'sitting', 'donuts']
['683363557321388032', 'plate', 'table', 'bread', 'sitting', 'slices']
['683364611513397248', 'display', 'store', 'different', 'filled', 'shop']
['683365234229248004', 'sandwich', 'plate', 'sitting', 'sandwiches', 'food']
['683405203328991232', 'black', 'picture', 'photo', 'white', 'old']
['683417001570742274', 'red', 'sign', 'road', 'man', 'sitting']
['683431160127590400', 'clock', 'sitting', 'room', 'television', 'tv']
['683800787995066368', 'plate', 'pizza', 'sitting', 'table', 'slices']
['683810612518993920', 'room', 'sitting', 'bed', 'flowers', 'people']
['683836032756920320', 'signs', 'street', 'sign', 'different', 'sitting']
['683843373514514432', 'man', 'baseball', 'sitting', 'boy', 'woman']
['683854138535358465', 'sign', 'street', 'signs', 'different', 'writing']
['683859183511285760', 'different', 'signs', 'types', 'bunch', 'picture']
['683868783547551744', 'man', 'standing', 'holding', 'frisbee', 'field']
['683877353898950656', 'sign', 'orange', 'sitting', 'apple', 'red']
['683882326179233793', 'stuffed', 'display', 'people', 'teddy', 'truck']
['683882952938278912', 'sitting', 'white', 'wall', 'black', 'photo']
['683889125745922048', 'cat', 'sitting', 'white', 'laying', 'red']
['683894557021319169', 'man', 'men', 'people', 'sitting', 'bench']
['683926586698141696', 'room', 'chairs', 'tables', 'area', 'windows']
['683945720840323072', 'water', 'sitting', 'person', 'flying', 'picture']
['683958598796505088', 'sitting', 'black', 'airplane', 'white', 'sign']
['683979570568105985', 'different', 'picture', 'black', 'remote', 'bunch']
['684001784088686592', 'road', 'street', 'truck', 'cars', 'riding']
['684018093459390464', 'sitting', 'sign', 'black', 'building', 'old']
['684036010636804096', 'picture', 'sitting', 'game', 'white', 'sign']
['684042671741091840', 'man', 'wearing', 'phone', 'picture', 'cell']
['684043013388120065', 'sign', 'street', 'sitting', 'signs', 'road']
['684043024830181376', 'laying', 'cat', 'couch', 'sleeping', 'sitting']
['684047142906761216', 'water', 'trees', 'river', 'sitting', 'lake']
['684048166224838656', 'picture', 'sitting', 'men', 'holding', 'standing']
['684051880524161026', 'green', 'picture', 'sitting', 'grass', 'different']
['684110397914386433', 'white', 'sitting', 'kitchen', 'water', 'stove']
['684110747933237249', 'man', 'woman', 'sitting', 'kitchen', 'person']
['684127708486496259', 'black', 'picture', 'white', 'photo', 'sitting']
['684140022417780739', 'holding', 'yellow', 'sign', 'bear', 'sitting']
['684160451572281344', 'sign', 'sitting', 'cake', 'food', 'display']
['684162257475997696', 'train', 'road', 'sitting', 'hill', 'bench']
['684530584765333504', 'plate', 'sitting', 'cheese', 'cake', 'meat']
['684536371386683392', 'white', 'black', 'bear', 'wearing', 'close']
['684585518105899008', 'group', 'people', 'table', 'standing', 'sitting']
['684590148672077824', 'man', 'suit', 'wearing', 'tie', 'young']
['684607693915439104', 'sign', 'street', 'signs', 'sitting', 'black']
['684633048483106816', 'flying', 'sky', 'airplane', 'plane', 'hill']
['684649006606061568', 'sign', 'street', 'sitting', 'black', 'picture']
['684667398843047936', 'baseball', 'man', 'holding', 'wearing', 'cell']
['684698671594778624', 'different', 'sign', 'writing', 'black', 'picture']
['684741930924793856', 'red', 'man', 'baseball', 'game', 'player']
['684746305810239488', 'street', 'sign', 'signs', 'pole', 'sitting']
['684751136490962945', 'laying', 'bed', 'red', 'sitting', 'orange']
['684751563454205952', 'man', 'baseball', 'holding', 'men', 'woman']
['684751830425833472', 'sign', 'street', 'white', 'sitting', 'signs']
['684788302143078400', 'cat', 'sitting', 'laying', 'white', 'cats']
['684821191039840256', 'man', 'sitting', 'woman', 'holding', 'baseball']
['684835175738568704', 'sitting', 'sign', 'white', 'baseball', 'wall']
['684848251552567298', 'station', 'train', 'building', 'sitting', 'light']
['684888905758318592', 'man', 'sitting', 'phone', 'car', 'woman']
['684920023475994626', 'sitting', 'white', 'game', 'picture', 'sign']
['684921998305312768', 'man', 'phone', 'woman', 'cell', 'teeth']
['684922233274380288', 'white', 'black', 'sitting', 'sign', 'photo']
['684923881421930496', 'street', 'sign', 'stop', 'signs', 'close']
['684934265751093248', 'cat', 'white', 'sitting', 'black', 'laying']
['684951892347252736', 'man', 'group', 'people', 'men', 'holding']
['684979497074991104', 'sitting', 'man', 'laptop', 'person', 'laying']
['685079733478932481', 'holding', 'man', 'bear', 'teddy', 'wearing']
['685103804581216257', 'air', 'traffic', 'display', 'street', 'hanging']
['685107977460686849', 'road', 'truck', 'white', 'car', 'street']
['685113505276649473', 'black', 'picture', 'white', 'sitting', 'photo']
['685117054953877505', 'keyboard', 'sitting', 'mouse', 'black', 'white']
['685156039159853056', 'sign', 'signs', 'different', 'street', 'sitting']
['685159825995505665', 'sign', 'street', 'road', 'signs', 'white']
['685164083117608960', 'remote', 'cell', 'picture', 'phone', 'sitting']
['685168383738785792', 'teddy', 'sign', 'bear', 'sitting', 'holding']
['685173919058407424', 'train', 'bird', 'white', 'water', 'standing']
['685175113482944512', 'man', 'black', 'sign', 'suit', 'wearing']
['685183064826351617', 'scissors', 'sitting', 'tennis', 'white', 'wall']
['685190077555826692', 'night', 'field', 'road', 'cars', 'grass']
['685190289431113728', 'man', 'skateboard', 'street', 'holding', 'person']
['685204034815275008', 'sign', 'sitting', 'white', 'book', 'street']
['685221022937821184', 'sign', 'street', 'shop', 'signs', 'different']
['685234721282981889', 'sign', 'black', 'picture', 'white', 'photo']
['685236198298808320', 'items', 'display', 'toys', 'store', 'street']
['685236400854188033', 'sign', 'white', 'sitting', 'wall', 'photo']
['685248241412145152', 'car', 'road', 'truck', 'street', 'white']
['685269360940822528', 'sign', 'street', 'signs', 'white', 'pole']
['685271249187110912', 'man', 'woman', 'holding', 'playing', 'standing']
['685276611042766849', 'train', 'water', 'sitting', 'tracks', 'long']
['685314759353348096', 'sitting', 'picture', 'black', 'sign', 'remote']
['685357510484738048', 'night', 'street', 'sun', 'lights', 'road']
['685359129414774784', 'sign', 'white', 'picture', 'writing', 'sitting']
['685363041110634496', 'different', 'signs', 'bunch', 'types', 'sitting']
['685385028273090560', 'man', 'woman', 'men', 'sitting', 'picture']
['685414412103069696', 'street', 'snow', 'road', 'hydrant', 'riding']
['685480944191586304', 'sitting', 'birds', 'street', 'white', 'pole']
['685491413409112065', 'sitting', 'wall', 'bird', 'bench', 'cat']
['685499717149569024', 'bed', 'laying', 'blanket', 'sleeping', 'pillows']
['685512351207022592', 'bed', 'laying', 'cat', 'man', 'sleeping']
['685517820558479360', 'red', 'man', 'sitting', 'holding', 'woman']
['685520313069776896', 'airplane', 'building', 'plane', 'large', 'train']
['685538617566052352', 'sign', 'different', 'white', 'black', 'street']
['685547443598004225', 'trees', 'sun', 'road', 'sunset', 'night']
['685548576630521856', 'people', 'street', 'crowd', 'station', 'group']
['685553472083734529', 'sign', 'black', 'white', 'street', 'sitting']
['685561705426989057', 'man', 'sitting', 'tennis', 'player', 'court']
['685565163127320579', 'sign', 'black', 'picture', 'white', 'different']
['685570843477319680', 'sign', 'wall', 'sitting', 'signs', 'writing']
['685575068215279618', 'flowers', 'vase', 'green', 'table', 'sitting']
['685576450364289026', 'airplane', 'building', 'plane', 'large', 'train']
['685579652161757189', 'black', 'picture', 'photo', 'white', 'sitting']
['685587227791851520', 'people', 'field', 'flying', 'kites', 'group']
['685594638464499712', 'street', 'traffic', 'cars', 'night', 'red']
['685601583879598084', 'sign', 'street', 'stop', 'close', 'sitting']
['685610832085053444', 'white', 'black', 'sign', 'sitting', 'keyboard']
['685622559937708032', 'night', 'light', 'traffic', 'lit', 'sitting']
['685631120298213376', 'wall', 'sitting', 'hanging', 'room', 'white']
['685656680495845378', 'red', 'sign', 'sitting', 'wall', 'white']
['685712147956023296', 'different', 'remote', 'sitting', 'game', 'types']
['685766032414224385', 'beach', 'water', 'people', 'sun', 'ocean']
['685817158652280832', 'trees', 'zebras', 'group', 'standing', 'field']
['685857038681899010', 'filled', 'sitting', 'carrots', 'red', 'food']
['685870962689064960', 'sign', 'sitting', 'signs', 'street', 'shown']
['685874262998028288', 'woman', 'holding', 'women', 'picture', 'cell']
['685875890841108480', 'tree', 'bananas', 'sitting', 'branch', 'bird']
['685875930401779712', 'picture', 'man', 'photo', 'woman', 'holding']
['685908290010742784', 'group', 'standing', 'people', 'men', 'playing']
['685926903509872640', 'man', 'holding', 'kite', 'wearing', 'hat']
['685931813861240833', 'street', 'sign', 'traffic', 'signs', 'sitting']
['685941579341664257', 'black', 'white', 'photo', 'picture', 'sitting']
['685982606496776192', 'teddy', 'stuffed', 'sitting', 'bear', 'dog']
['685996770829168640', 'street', 'signs', 'sign', 'different', 'pole']
['685999243874676736', 'man', 'sitting', 'street', 'person', 'skateboard']
['686013652021809152', 'television', 'room', 'sitting', 'tv', 'wall']
['686029041900507136', 'street', 'traffic', 'lights', 'signs', 'road']
['686050853120167936', 'black', 'white', 'picture', 'sitting', 'phone']
['686074568759357441', 'street', 'sign', 'signs', 'road', 'sitting']
['686096922868867072', 'people', 'street', 'parked', 'road', 'outside']
['686126823592177664', 'picture', 'sign', 'black', 'white', 'different']
['686222316431257600', 'air', 'kites', 'sitting', 'blue', 'sit']
['686244213932048385', 'sitting', 'bananas', 'banana', 'apple', 'bowl']
['686249757103271937', 'sitting', 'box', 'table', 'sign', 'wall']
['686253463446138880', 'street', 'sign', 'signs', 'pole', 'blue']
['686253993769734145', 'man', 'baseball', 'holding', 'sitting', 'bat']
['686269922779873280', 'sign', 'white', 'black', 'photo', 'picture']
['686283458059059200', 'picture', 'sitting', 'white', 'photo', 'wall']
['686309303913820161', 'baseball', 'player', 'game', 'ball', 'playing']
['686323557958291456', 'sign', 'street', 'signs', 'different', 'scissors']
['686522354575486976', 'sitting', 'white', 'game', 'player', 'different']
['686540784653463552', 'man', 'men', 'screen', 'picture', 'tv']
['686572545265504256', 'sitting', 'people', 'man', 'woman', 'group']
['686574932990410754', 'sign', 'sitting', 'white', 'black', 'street']
['686575579328589824', 'grass', 'laying', 'sitting', 'field', 'standing']
['686579193614761984', 'signs', 'baseball', 'different', 'street', 'sign']
['686587990236348416', 'man', 'player', 'ball', 'baseball', 'holding']
['686590150235807744', 'man', 'suit', 'wearing', 'black', 'tie']
['686620435534987265', 'man', 'skateboard', 'air', 'sign', 'picture']
['686624979966910464', 'white', 'sitting', 'sign', 'book', 'black']
['686649475776036867', 'woman', 'girls', 'man', 'teeth', 'phone']
['686667554811691009', 'woman', 'phone', 'cell', 'man', 'sitting']
['686670836577742848', 'black', 'picture', 'sitting', 'photo', 'white']
['686681115915059201', 'cat', 'laying', 'white', 'sitting', 'dog']
['686698926104272896', 'sign', 'street', 'white', 'black', 'sitting']
['686704697814614016', 'group', 'men', 'people', 'baseball', 'standing']
['686708138075107328', 'clock', 'tower', 'sitting', 'wall', 'inside']
['686721906909683712', 'sign', 'street', 'sitting', 'red', 'sky']
['686724563493720064', 'sign', 'street', 'signs', 'white', 'sitting']
['686728005985681412', 'picture', 'sitting', 'black', 'man', 'sign']
['686763823085293574', 'sitting', 'street', 'store', 'sign', 'white']
['686766977612791809', 'sitting', 'skateboard', 'boy', 'man', 'riding']
['686774491976839173', 'sitting', 'man', 'truck', 'woman', 'laying']
['686786826254745600', 'sitting', 'white', 'picture', 'wall', 'sit']
['686864444924760064', 'man', 'people', 'men', 'woman', 'group']
['686885994684125185', 'black', 'sitting', 'ground', 'laying', 'white']
['686893605621874688', 'man', 'woman', 'trees', 'picture', 'photo']
['686900219292839939', 'street', 'snow', 'road', 'traffic', 'building']
['686906870217490437', 'water', 'sun', 'ocean', 'sitting', 'road']
['686916775582109698', 'truck', 'snow', 'road', 'car', 'man']
['686926157288202241', 'man', 'wearing', 'tie', 'holding', 'face']
['686937481288138752', 'man', 'woman', 'hair', 'wearing', 'phone']
['686955918727213057', 'sign', 'street', 'signs', 'white', 'sitting']
['686988004708106241', 'man', 'suit', 'wearing', 'tie', 'holding']
['686995430366904321', 'train', 'road', 'water', 'highway', 'sun']
['687002701318717440', 'sitting', 'bench', 'sit', 'people', 'man']
['687017855045492736', 'traffic', 'street', 'skateboard', 'man', 'light']
['687037430717898753', 'man', 'picture', 'wearing', 'sitting', 'holding']
['687037688856338432', 'street', 'sign', 'signs', 'sitting', 'white']
['687046254455566337', 'man', 'wearing', 'picture', 'hat', 'woman']
['687053223753060354', 'man', 'wearing', 'picture', 'hat', 'woman']
['687063869215342592', 'black', 'picture', 'white', 'photo', 'baseball']
['687071770524819456', 'sign', 'food', 'plate', 'table', 'bananas']
['687097423743696896', 'teddy', 'bear', 'laying', 'stuffed', 'bed']
['687117399187828736', 'laying', 'floor', 'sitting', 'dog', 'ground']
['687136547032793088', 'man', 'person', 'laying', 'white', 'airplane']
['687137751943266304', 'wearing', 'man', 'phone', 'woman', 'cell']
['687144271955103744', 'teddy', 'bear', 'dog', 'brown', 'wearing']
['687155161697894400', 'man', 'sitting', 'laying', 'display', 'cat']
['687178819929767936', 'street', 'sitting', 'road', 'car', 'parking']
['687208244943695872', 'air', 'kites', 'bunch', 'people', 'jump']
['687217642302795776', 'sitting', 'man', 'standing', 'tower', 'looking']
['687275544996634624', 'green', 'sitting', 'frisbee', 'board', 'traffic']
['687283711256035329', 'different', 'food', 'filled', 'display', 'types']
['687298676860010497', 'man', 'wearing', 'tie', 'suit', 'hat']
['687312681863233536', 'sign', 'picture', 'sitting', 'baseball', 'air']
['687326083256070144', 'man', 'street', 'skateboard', 'traffic', 'playing']
['687328903120203776', 'white', 'photo', 'street', 'wall', 'sitting']
['687332343367995392', 'sitting', 'street', 'white', 'signs', 'sign']
['687339121505734656', 'white', 'water', 'sitting', 'trees', 'photo']
['687339807463337985', 'sign', 'clock', 'sitting', 'wall', 'street']
['687372373268430848', 'trees', 'black', 'white', 'sitting', 'snow']
['687379180409860096', 'sitting', 'street', 'sign', 'black', 'picture']
['687383830508998656', 'people', 'man', 'sitting', 'sheep', 'woman']
['687393941067558912', 'sitting', 'white', 'close', 'cup', 'plate']
['687435123294355457', 'sign', 'different', 'signs', 'picture', 'writing']
['687440182027497472', 'night', 'sitting', 'dark', 'sky', 'white']
['687462795638607872', 'sign', 'street', 'white', 'close', 'wall']
['687475009816801281', 'keyboard', 'black', 'sitting', 'white', 'photo']
['687475296778366976', 'plate', 'sandwich', 'food', 'sitting', 'bread']
['687478220090806273', 'plate', 'cutting', 'table', 'pizza', 'sandwich']
['687504091639988225', 'man', 'baseball', 'black', 'white', 'person']
['687536800508821504', 'cup', 'table', 'sitting', 'white', 'plate']
['687538447997784064', 'sign', 'sitting', 'different', 'signs', 'man']
['687550286286565376', 'birds', 'kites', 'perched', 'flock', 'branches']
['687599189438631936', 'man', 'woman', 'playing', 'women', 'talking']
['687619209195614208', 'sign', 'red', 'sitting', 'pink', 'writing']
['687639534926839808', 'white', 'sign', 'sitting', 'picture', 'black']
['687651957268328448', 'sign', 'street', 'signs', 'close', 'sitting']
['687653525757673473', 'man', 'holding', 'oven', 'boy', 'food']
['687655177936093184', 'man', 'sitting', 'soccer', 'woman', 'playing']
['687661976533610496', 'plate', 'sandwich', 'pizza', 'white', 'half']
['687663134056693761', 'man', 'suit', 'black', 'tie', 'picture']
['687673919357071360', 'people', 'street', 'riding', 'group', 'man']
['687686464428113920', 'man', 'men', 'people', 'group', 'food']
['687691982114701312', 'street', 'sign', 'signs', 'pole', 'traffic']
['687723279520526336', 'red', 'sitting', 'skateboard', 'train', 'man']
['687729338360442880', 'airplane', 'runway', 'airport', 'plane', 'tarmac']
['687732490665000961', 'sitting', 'light', 'black', 'traffic', 'attached']
['687733379094056960', 'man', 'bench', 'sitting', 'truck', 'standing']
['687741234920599553', 'sign', 'street', 'pole', 'signs', 'sitting']
['687748094427971584', 'white', 'sitting', 'kitchen', 'counter', 'inside']
['687751173768495104', 'sitting', 'water', 'white', 'sign', 'table']
['687767505465573377', 'street', 'sign', 'signs', 'different', 'sitting']
['687800927617724416', 'baseball', 'black', 'picture', 'photo', 'group']
['687821553069772801', 'red', 'sign', 'wall', 'black', 'sitting']
['687826579599196160', 'sign', 'street', 'signs', 'white', 'sitting']
['687833630098362368', 'man', 'holding', 'sitting', 'sign', 'picture']
['687837109395288064', 'sign', 'picture', 'sitting', 'white', 'street']
['687842181323853824', 'sign', 'street', 'sitting', 'black', 'white']
['687849753640435713', 'sitting', 'sign', 'man', 'picture', 'different']
['687919258567770112', 'man', 'sign', 'woman', 'sitting', 'holding']
['687922927430275072', 'sign', 'pole', 'street', 'sitting', 'post']
['687923155315326977', 'street', 'sign', 'signs', 'pole', 'different']
['687946942542966784', 'red', 'black', 'sitting', 'phone', 'tie']
['687973976103063552', 'man', 'woman', 'holding', 'teddy', 'head']
['687978177155575809', 'black', 'photo', 'white', 'sign', 'picture']
['687988631546507265', 'man', 'frisbee', 'standing', 'holding', 'woman']
['687998090146496512', 'sign', 'street', 'white', 'sitting', 'picture']
['688011491795189760', 'sitting', 'man', 'playing', 'laying', 'people']
['688013070384381952', 'man', 'wall', 'display', 'sitting', 'people']
['688014349953286145', 'sitting', 'group', 'stuffed', 'holding', 'girls']
['688016874370674695', 'sitting', 'people', 'man', 'playing', 'table']
['688017132899188736', 'sitting', 'people', 'group', 'room', 'living']
['688019101659344896', 'sign', 'sitting', 'clock', 'wall', 'picture']
['688021313949167616', 'sign', 'street', 'sitting', 'signs', 'different']
['688022995735080961', 'man', 'tie', 'wearing', 'holding', 'shirt']
['688044840412565505', 'different', 'sitting', 'sign', 'items', 'street']
['688045940477968384', 'remote', 'sitting', 'picture', 'wii', 'white']
['688048010777853952', 'man', 'woman', 'standing', 'holding', 'playing']
['688070697055313920', 'sitting', 'table', 'cup', 'counter', 'bowl']
['688074706298253313', 'sitting', 'red', 'oven', 'counter', 'room']
['688075055016886272', 'truck', 'road', 'sitting', 'street', 'car']
['688083478018146304', 'black', 'picture', 'white', 'baseball', 'sitting']
['688103947614064641', 'room', 'sitting', 'living', 'desk', 'television']
['688104360199323648', 'bear', 'teddy', 'wearing', 'hat', 'holding']
['688123616454520833', 'people', 'man', 'pictures', 'group', 'teddy']
['688124538454802432', 'man', 'sitting', 'holding', 'black', 'person']
['688136577806016514', 'sign', 'white', 'sitting', 'street', 'picture']
['688140954750955520', 'red', 'black', 'wall', 'sitting', 'white']
['688180666911952897', 'holding', 'wearing', 'sitting', 'boy', 'man']
['688184681863331840', 'store', 'man', 'people', 'teddy', 'bear']
['688186042134822914', 'sitting', 'bench', 'people', 'man', 'woman']
['688194261305536513', 'man', 'dark', 'sitting', 'room', 'woman']
['688253637584265217', 'scissors', 'close', 'white', 'cup', 'sitting']
['688280585899511808', 'street', 'sign', 'signs', 'pole', 'man']
['688299479263498240', 'water', 'white', 'sitting', 'black', 'wall']
['688325431141990400', 'different', 'picture', 'writing', 'sitting', 'photo']
['688338958577717248', 'flying', 'sky', 'airplane', 'plane', 'white']
['688345649994055680', 'sign', 'street', 'black', 'white', 'sitting']
['688374085945049088', 'street', 'parking', 'photo', 'picture', 'road']
['688381259328913408', 'man', 'woman', 'head', 'face', 'taking']
['688411498272571392', 'phone', 'man', 'woman', 'cell', 'wearing']
['688413325433028608', 'street', 'sitting', 'sign', 'scissors', 'bunch']
['688434905265483776', 'man', 'woman', 'standing', 'men', 'screen']
['688439479607009280', 'man', 'wearing', 'suit', 'tie', 'smiling']
['688452984586502144', 'white', 'cake', 'plate', 'sitting', 'dog']
['688454234367377408', 'clock', 'wall', 'sitting', 'white', 'picture']
['688460191130603521', 'man', 'sitting', 'bowl', 'red', 'table']
['688471306442944512', 'red', 'sign', 'wall', 'sitting', 'picture']
['688474231651176448', 'man', 'photo', 'wall', 'picture', 'sitting']
['688526083348500484', 'man', 'wearing', 'tie', 'young', 'boy']
['688536913830113280', 'sign', 'picture', 'photo', 'man', 'black']
['688539934605484033', 'sitting', 'pizza', 'lit', 'cake', 'man']
['688562709873446912', 'different', 'remote', 'types', 'picture', 'sitting']
['688606169623998464', 'black', 'sitting', 'white', 'picture', 'grass']
['688640516758630402', 'man', 'woman', 'sitting', 'phone', 'cell']
['688650921929080832', 'street', 'signs', 'sign', 'different', 'road']
['688662865016958976', 'white', 'flying', 'sky', 'picture', 'air']
['688679549664673792', 'kitchen', 'white', 'sitting', 'room', 'stove']
['688682109037228033', 'baseball', 'man', 'holding', 'bat', 'player']
['688706915757625344', 'sign', 'white', 'street', 'red', 'signs']
['688734735175004161', 'sitting', 'cake', 'table', 'plate', 'fruit']
['688748657982713857', 'red', 'sign', 'street', 'sitting', 'writing']
['688750591502381056', 'sign', 'wall', 'white', 'street', 'black']
['688766388324950016', 'white', 'street', 'sitting', 'traffic', 'wall']
['688766975820992512', 'sign', 'bananas', 'sitting', 'pile', 'banana']
['688779229627035650', 'man', 'baseball', 'holding', 'sitting', 'bat']
['688779926409969665', 'laying', 'sitting', 'floor', 'couch', 'bed']
['688783571381649408', 'man', 'wearing', 'glasses', 'woman', 'face']
['688794329465270272', 'street', 'sign', 'signs', 'building', 'pole']
['688804762381357057', 'sign', 'wall', 'white', 'black', 'sitting']
['688833309502222336', 'street', 'signs', 'sign', 'different', 'close']
['688839242819203072', 'room', 'bedroom', 'bed', 'window', 'sitting']
['688839877597728769', 'man', 'phone', 'sitting', 'cell', 'woman']
['688911206149677057', 'sign', 'street', 'sitting', 'train', 'blue']
['688921289407397888', 'people', 'street', 'group', 'sitting', 'room']
['688931689758863360', 'sign', 'sitting', 'black', 'white', 'street']
['688948987307507712', 'red', 'sitting', 'old', 'black', 'bed']
['689033889923219456', 'man', 'men', 'picture', 'holding', 'standing']
['689052142003294209', 'man', 'kite', 'person', 'people', 'sign']
['689096382574112772', 'sitting', 'black', 'wall', 'white', 'picture']
['689120428409909248', 'phone', 'picture', 'man', 'cell', 'holding']
['689133010663288833', 'plate', 'sandwich', 'half', 'sitting', 'bread']
['689146173035298818', 'man', 'ball', 'woman', 'player', 'holding']
['689149960797945856', 'sign', 'street', 'sky', 'signs', 'pole']
['689152404487417857', 'man', 'holding', 'wearing', 'woman', 'person']
['689171316231016448', 'man', 'sitting', 'laying', 'people', 'motorcycle']
['689173117193834496', 'airplane', 'sitting', 'car', 'plane', 'view']
['689183603926810625', 'man', 'woman', 'sitting', 'men', 'people']
['689186484902064128', 'kitchen', 'living', 'room', 'counter', 'stove']
['689219730796707840', 'white', 'black', 'baseball', 'men', 'man']
['689240781643579392', 'clock', 'sitting', 'wall', 'sign', 'clocks']
['689242025519091714', 'air', 'man', 'skateboard', 'jump', 'airplane']
['689269156416491520', 'sign', 'street', 'sitting', 'white', 'black']
['689276259809923073', 'birds', 'sky', 'flying', 'sitting', 'white']
['689357345588125696', 'elephant', 'standing', 'horse', 'looking', 'white']
['689385100178432000', 'man', 'water', 'black', 'skateboard', 'white']
['689446393040142336', 'man', 'black', 'picture', 'boy', 'sitting']
['689456651997347841', 'street', 'signs', 'blue', 'sitting', 'close']
['689457017308602368', 'different', 'keyboard', 'signs', 'sitting', 'close']
['689481175941808128', 'man', 'sign', 'men', 'bear', 'holding']
['689481578389499904', 'cat', 'dog', 'green', 'sitting', 'head']
['689484733433032704', 'sitting', 'flowers', 'display', 'vase', 'statue']
['689486061983019009', 'snow', 'street', 'road', 'covered', 'white']
['689487804133289984', 'sign', 'street', 'white', 'signs', 'black']
['689492583442087936', 'picture', 'white', 'different', 'bunch', 'photo']
['689501721966415873', 'flying', 'white', 'birds', 'sitting', 'kites']
['689594508460298244', 'woman', 'man', 'sitting', 'looking', 'phone']
['689600450018938880', 'street', 'truck', 'road', 'cars', 'city']
['689637362058440705', 'stop', 'sign', 'red', 'sitting', 'street']
['689667649878540289', 'man', 'sign', 'men', 'picture', 'writing']
['689681644987551744', 'sign', 'sitting', 'street', 'stop', 'writing']
['689691065503326208', 'signs', 'sign', 'different', 'street', 'sitting']
['689704577847918592', 'man', 'soccer', 'men', 'picture', 'bear']
['689751315505926144', 'air', 'man', 'sign', 'holding', 'person']
['689752136435929088', 'white', 'black', 'grass', 'photo', 'woman']
['689782673112367104', 'phone', 'woman', 'cell', 'man', 'people']
['689796494157832193', 'sitting', 'white', 'cat', 'laying', 'face']
['689796910463467520', 'train', 'street', 'snow', 'park', 'sitting']
['689816370658349057', 'sign', 'different', 'picture', 'scissors', 'sitting']
['689825646760042497', 'sign', 'bananas', 'sitting', 'different', 'store']
['689841858198007809', 'sitting', 'airplane', 'bed', 'luggage', 'room']
['689845434211143680', 'man', 'woman', 'holding', 'game', 'playing']
['689845804610158592', 'people', 'group', 'crowd', 'line', 'sitting']
['689850516734615552', 'black', 'laying', 'cat', 'sleeping', 'sitting']
['689852887963471872', 'photo', 'black', 'picture', 'white', 'old']
['689852968066224128', 'sitting', 'sign', 'street', 'white', 'writing']
['689854555199250433', 'street', 'sitting', 'lines', 'pole', 'birds']
['689866246855266304', 'dog', 'woman', 'sitting', 'man', 'little']
['689868642260029440', 'photo', 'white', 'black', 'picture', 'old']
['689871277205671936', 'sandwich', 'cheese', 'sitting', 'plate', 'pizza']
['689872913210695680', 'tree', 'sitting', 'bird', 'branch', 'birds']
['689875739315965952', 'plane', 'airplane', 'sitting', 'white', 'parked']
['689876038046892032', 'sitting', 'remote', 'book', 'white', 'table']
['689878733424087040', 'man', 'wearing', 'suit', 'tie', 'hat']
['689884768759123972', 'sitting', 'men', 'man', 'people', 'picture']
['689885764633497600', 'sitting', 'sign', 'white', 'baseball', 'picture']
['689887669346766849', 'truck', 'parked', 'road', 'street', 'sitting']
['689893996626341890', 'sign', 'different', 'picture', 'scissors', 'sitting']
